codigo_act,descripcion,categoria_negocio
432130,Actividad no identificada,otro
435411,Actividad no identificada,otro
434227,Actividad no identificada,otro
432120,Actividad no identificada,otro
437313,Actividad no identificada,otro
433510,Actividad no identificada,otro
435312,Actividad no identificada,otro
432119,Actividad no identificada,otro
434228,Actividad no identificada,otro
433210,Actividad no identificada,otro
436111,Actividad no identificada,otro
431122,Actividad no identificada,otro
431180,Actividad no identificada,otro
435412,Actividad no identificada,otro
437312,Actividad no identificada,otro
433312,Actividad no identificada,otro
431212,Actividad no identificada,otro
431170,Actividad no identificada,otro
434314,Actividad no identificada,otro
433313,Actividad no identificada,otro
433430,Actividad no identificada,otro
434112,Actividad no identificada,otro
431140,Actividad no identificada,otro
437311,Actividad no identificada,otro
432112,Actividad no identificada,otro
433220,Actividad no identificada,otro
432113,Actividad no identificada,otro
434313,Actividad no identificada,otro
431194,Actividad no identificada,otro
463111,Actividad no identificada,otro
463211,Actividad no identificada,otro
464121,Actividad no identificada,otro
465919,Actividad no identificada,otro
466212,Actividad no identificada,otro
464113,Actividad no identificada,otro
466112,Actividad no identificada,otro
468411,Actividad no identificada,otro
465111,Papelerías,papeleria
461110,Actividad no identificada,otro
465912,Actividad no identificada,otro
463310,Actividad no identificada,otro
465112,Actividad no identificada,otro
468112,Actividad no identificada,otro
461121,Actividad no identificada,otro
466410,Actividad no identificada,otro
468211,Actividad no identificada,otro
465311,Actividad no identificada,otro
464111,Farmacias,farmacia
462111,Actividad no identificada,otro
461220,Actividad no identificada,otro
465212,Actividad no identificada,otro
468212,Actividad no identificada,otro
466111,Actividad no identificada,otro
463215,Actividad no identificada,otro
461122,Tiendas deportivas,tienda_deportiva
465913,Actividad no identificada,otro
462112,Actividad no identificada,otro
461212,Actividad no identificada,otro
461123,Actividad no identificada,otro
462210,Actividad no identificada,otro
465215,Actividad no identificada,otro
466312,Actividad no identificada,otro
466211,Actividad no identificada,otro
461213,Actividad no identificada,otro
461140,Actividad no identificada,otro
461160,Actividad no identificada,otro
461190,Actividad no identificada,otro
461130,Actividad no identificada,otro
461170,Actividad no identificada,otro
461211,Actividad no identificada,otro
465915,Actividad no identificada,otro
461150,Actividad no identificada,otro
467111,Actividad no identificada,otro
468311,Actividad no identificada,otro
467114,Actividad no identificada,otro
467112,Actividad no identificada,otro
467113,Actividad no identificada,otro
463214,Actividad no identificada,otro
465911,Actividad no identificada,otro
463218,Actividad no identificada,otro
463216,Actividad no identificada,otro
463213,Actividad no identificada,otro
468420,Actividad no identificada,otro
467117,Actividad no identificada,otro
467115,Actividad no identificada,otro
465914,Actividad no identificada,otro
468111,Actividad no identificada,otro
466311,Actividad no identificada,otro
464122,Actividad no identificada,otro
466114,Actividad no identificada,otro
466319,Actividad no identificada,otro
465216,Actividad no identificada,otro
468213,Actividad no identificada,otro
463112,Actividad no identificada,otro
465312,Actividad no identificada,otro
467116,Actividad no identificada,otro
464112,Actividad no identificada,otro
468412,Actividad no identificada,otro
466313,Actividad no identificada,otro
468419,Actividad no identificada,otro
469110,Actividad no identificada,otro
465211,Actividad no identificada,otro
463212,Actividad no identificada,otro
465213,Actividad no identificada,otro
465214,Actividad no identificada,otro
463113,Actividad no identificada,otro
468319,Actividad no identificada,otro
466314,Actividad no identificada,otro
