categoria_negocio,latitud,longitud
CONSTRUCTORA E INMOBILIARIA HULE,31.84617018,-116.5992145
CONSTRUCTORA ELECTROMECANICA,31.83057985,-116.5995659
CONSTRUCTORA ICOM,31.8536728,-116.5869144
CONSTRUCTORA IRBOS,31.84608752,-116.5962452
CONSTRUCTORA JM R,31.86387147,-116.5817149
CONSTRUCTORA MI CASA MI TERRENO,31.78258922,-116.5910714
CONSTRUCTORA NODO,31.86377253,-116.625685
CONSTRUCTORA NOVAERA OFICINA DE OBRAS FRACCIONAMIENTO CHAPULTEPEC,31.86682323,-116.6402897
CONSTRUCTORA ROBLES,31.864174,-116.5964079
CONSTRUCTORA ROJO,31.85213663,-116.5976115
CONSTRUCTORA STN,31.78332089,-116.5983416
CONSTRUCTORA VEHCSA,31.85699419,-116.5816229
CONSTRUCTORA Y ADMINISTRADORA PENINSULAR,31.81163719,-116.6012072
CONSTRUCTORA Y ARRENDADORA GARDUNO,31.85427919,-116.61006
CONSTRUCTORA Y ARRENDADORA VILLALOBOS,31.85596091,-116.6031497
CONSTRUCTORA Y PROMOTORA ESAR,31.86324414,-116.6200123
CONSTUCTORA ELECTRICA KOTKOFF,31.8671438,-116.6110805
CORMASA,31.87756767,-116.6206902
COSTRUCTORA TRANSPENINSULAR TORRES,31.85087484,-116.5917038
CPO,31.88808731,-116.6102375
DACO ESTRATEGIAS,31.85924887,-116.5962867
DALEXSA,31.83704192,-116.6065944
DESARROLLADORA GOS,31.86437486,-116.6554191
DESARROLLADORA INMOBILIARIA PACIFICA,31.81288778,-116.6088775
DESARROLLADORA URBANIZADORA NOVAERA,31.86244967,-116.5914185
DHAM CONSTRUCCIONES,31.85867996,-116.5727948
DISAIN CONSTRUCCIONES,31.84320107,-116.5927067
DISEÑO Y CONSTRUCCION TRES CE,31.86513163,-116.6240622
DRJ ARQUITECTURA,31.86430344,-116.6203808
DSM CONSTRUCTORA,31.83401913,-116.5976377
"EDIFICACIÓN DE INMUEBLES COMERCIALES Y DE SERVICIOS, Y OTRAS EDIFICACIONES NO RESIDENCIALES, EXCEPTO LA SUPERVISIÓN SIN NOMBRE",31.85886298,-116.598985
"EDIFICACIÓN DE INMUEBLES COMERCIALES Y DE SERVICIOS, Y OTRAS EDIFICACIONES NO RESIDENCIALES, EXCEPTO LA SUPERVISIÓN SIN NOMBRE",31.86269246,-116.6159725
"EDIFICACIÓN DE NAVES Y PLANTAS INDUSTRIALES, EXCEPTO LA SUPERVISIÓN SIN NOMBRE",31.70397635,-116.5596011
EDIFICACIÓN DE VIVIENDA MULTIFAMILIAR,31.86395453,-116.6205542
EDIFICACIÓN DE VIVIENDA UNIFAMILIAR,31.84992839,-116.5867914
EDIFICACIÓN DE VIVIENDA UNIFAMILIAR,31.87278121,-116.6225475
EDIFICACION Y SUPERVICION DE ENSENADA,31.86459167,-116.5958895
ELECTRICA KOTKOFF,31.87606295,-116.6202161
ELECTRICA Y SERVICIOS DE ENSENADA CONSTRUCTORA,31.86526863,-116.5972718
ELECTRO SOLAR,31.89206848,-116.6947231
ELECTROMECANICA MERAZ,31.78124264,-116.5806248
ENERGIA ABT,31.86607313,-116.6067192
ENSENADA ELECTRIC SUPPLY,31.84964314,-116.59611
ENSENADA GRASS,31.85380468,-116.5860216
ESTRADA INGENIERIA Y CONSTRUCCION ,31.85876963,-116.6064308
ESTRADA INGENIERIA Y CONSTRUCION,31.85986722,-116.6116666
EXCEL CONSTRUCTORA,31.84885202,-116.6016413
FLIP CONSTRUCTORA,31.7793086,-116.5780815
FLIP CONSTRUCTORA,31.86320016,-116.625171
GAMA INTEGRAL ,31.7700305,-116.5820504
GENERACION CIMARRON,31.83802733,-116.6084872
GRUPO CAROMA,31.86877232,-116.6049683
GRUPO CONSTRUCCION DE ALBERCAS Y JACUZZIZ BC,31.86492772,-116.6150352
GRUPO DE PLANIFICACION URBANA,31.83700649,-116.6065873
GRUPO ELECTROMECANICO DE BAJA CALIFORNIA,31.85216439,-116.5973942
GRUPO INVENTIVA DE BC,31.88932091,-116.6812022
GRUPO RUVCA,31.86513315,-116.6141236
HERBOC CONSTRUCCIONES,31.86521203,-116.6096065
HOME QUIP PUERTAS AUTOMATICAS,31.87327176,-116.6238865
HULSEY CONTRACTING,31.86583519,-116.586319
IBARRA VALENZUELA Y ASOCIADOS,31.83322664,-116.6058306
INFRAESTRUCTURA MARITIMA Y PORTUARIA FRONTERIZA,31.85853443,-116.6076366
INGENERIA INTEGRAL DE BC,31.87247224,-116.6124179
INGENIERIA PORTUARIA DE BAJA CALIFORNIA,31.85966664,-116.5922834
INGENIERIA Y ARQUITECTURA,31.85934801,-116.6026945
INGENIERIA Y PROYECTOS CONSTRUCTORA,31.8652521,-116.5892149
INGENIERIA Y SERVICIOS ELECTRICOS A SUBESTACIONES,31.87566763,-116.6205553
INGENIERIA Y SERVICIOS ELECTROMECANICOS J&M,31.85165474,-116.5998266
INGENIERO FELIPE HERNANDEZ ARROYO,31.86632041,-116.6191223
INIGUEZ IMAMEX,31.87513389,-116.6256582
INMOBILIARIA COAST,31.86493694,-116.6297673
INMOBILIARIA MAR DE ENSENADA,31.85699633,-116.5816078
INMOBILIARIA SAN MIGUEL,31.86496671,-116.6212762
INSTALACIONES ELECTRICAS TORRES,31.86742337,-116.5820605
IVEMSA,31.87055874,-116.6048579
JALUMAR,31.86740727,-116.628613
JASSO CONSTRUCTORA,31.86795206,-116.5802406
JAVA CONSTRUCCION,31.85924906,-116.5962854
JEPCO,31.85751206,-116.5933472
LEON CONSTRUCTORA,31.87405264,-116.6232839
MADRIGAL CONTRUCTORA,31.86570167,-116.600166
MINERIA Y CONSTRUCTORA VALDES,31.84770373,-116.561712
MMAT DESARROLLADORA,31.83085103,-116.5910712
MORENO ELECTROCONSTRUCCIONES,31.87575552,-116.620368
MOTREK,31.88760239,-116.6046329
MT CASAS,31.8777759,-116.6166754
NTH ESTUDIO DE ARQUITECTURA,31.8528173,-116.6035579
OBRAS CIVILES METALICAS,31.87013567,-116.593808
OBRAS PROYECTOS Y ESTRUCTURAS,31.85865382,-116.6131052
OBRAS Y PROYECTOS ELECTRICOS DE BC,31.85070712,-116.5897396
OCTANTE INGENIEROS,31.86293192,-116.5826877
OFICINA ARQUITECTURA,31.88075498,-116.6221321
OFICINA DE CONTRATISTA,31.86858223,-116.58035
OFICINA DEPARTAMENTO VIENTO,31.88046283,-116.6837479
ONE ALARM,31.86192156,-116.5951173
PANACONM,31.85990699,-116.6153212
PAVIMENTOS EL SAUZAL,31.84326797,-116.598
PAYAN MARTINEZ Y ASOCIADOS,31.88108592,-116.6162287
PENTA SOLUCIONES INTEGRALES,31.86942974,-116.6039446
POZOS Y EQUIPOS DE ENSENADA,31.81137786,-116.5968122
PRO SYSTEMS,31.86375875,-116.5994897
PROMOTORA VISTALMAR,31.88248401,-116.6444231
PROYECTO COP. AGRO ETAIRIKOS,31.867528,-116.6268895
PROYECTOS INTEGRALES DE BAJA CALIFORNIA,31.80078759,-116.5888894
